 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
13.99468, 0.1859425, 0.009647499, 0.02241535, 0.006851003, 0.02393527, 0.0282604, 0.003880512
14.094642, 0.1828812, 0.009041866, 0.02107462, 0.006537301, 0.02271816, 0.03058127, 0.003620861
14.194604, 0.1750871, 0.008474253, 0.01981409, 0.006237963, 0.02156294, 0.02904117, 0.003844843
14.294566, 0.1785604, 0.007942272, 0.01862896, 0.005952332, 0.02046646, 0.03086315, 0.004725051
14.394528, 0.1771144, 0.007443687, 0.01751471, 0.00567978, 0.01942574, 0.02930885, 0.00440889
14.49449, 0.1765383, 0.006976401, 0.01646711, 0.005419707, 0.01843794, 0.02783283, 0.004113884
14.594452, 0.1899438, 0.006538449, 0.01548216, 0.005171543, 0.01750036, 0.03206129, 0.003838617
14.694414, 0.1843599, 0.00612799, 0.01455613, 0.004934743, 0.01661047, 0.03044665, 0.003581769
14.794376, 0.1934502, 0.005743299, 0.01368549, 0.004708785, 0.02078373, 0.03357151, 0.003680245
14.894338, 0.1966821, 0.005382756, 0.01286692, 0.004493173, 0.01972688, 0.03188081, 0.003590587
14.9943, 0.1943307, 0.005044848, 0.01209732, 0.004287434, 0.02077419, 0.03027526, 0.003350335
15.094262, 0.1917514, 0.006905884, 0.02113715, 0.004091116, 0.01971782, 0.02875057, 0.003126159
15.194224, 0.1997933, 0.01103978, 0.0275405, 0.003903787, 0.02201344, 0.02730266, 0.006504762
15.294186, 0.2086605, 0.01575949, 0.03188527, 0.01241826, 0.02931615, 0.02592767, 0.006865047
15.394148, 0.2002957, 0.01477017, 0.03128499, 0.01184963, 0.02782542, 0.02462193, 0.01029679
15.49411, 0.1972943, 0.01384296, 0.03754744, 0.01130705, 0.02641049, 0.02338195, 0.01030325
15.594072, 0.1960147, 0.01297395, 0.03530162, 0.01078931, 0.02506751, 0.02333651, 0.009613839
15.694034, 0.1935293, 0.0121595, 0.03319013, 0.01029527, 0.02379283, 0.02216126, 0.009293722
15.793996, 0.1941454, 0.01139617, 0.03120494, 0.009823862, 0.02258296, 0.02104519, 0.009191319
15.893958, 0.1904165, 0.01068076, 0.02933849, 0.009374036, 0.02143461, 0.01998534, 0.008576313
15.99392, 0.1897485, 0.01001027, 0.02758367, 0.008944806, 0.02034466, 0.02363572, 0.008002458
16.093882, 0.1837738, 0.00938186, 0.02593382, 0.008535231, 0.01931013, 0.0224454, 0.01004915
16.193844, 0.1759385, 0.008792902, 0.02438265, 0.008144409, 0.0183282, 0.02131503, 0.01151459
16.293806, 0.1684373, 0.008240918, 0.02292425, 0.007771484, 0.01739621, 0.02631295, 0.01734674
16.393768, 0.1717122, 0.007723585, 0.02155309, 0.007415634, 0.01651161, 0.03508817, 0.01618604
16.49373, 0.1713194, 0.007238728, 0.02026394, 0.007076078, 0.01567199, 0.03794073, 0.01510301
16.593692, 0.172737, 0.006784309, 0.0190519, 0.00675207, 0.01487507, 0.03603, 0.01409244
16.693654, 0.1669371, 0.006358416, 0.01791235, 0.006442898, 0.01411867, 0.03421549, 0.01314949
16.793616, 0.1598197, 0.005959259, 0.01684097, 0.006147883, 0.01340073, 0.03249237, 0.01226964
16.893578, 0.1530057, 0.00558516, 0.01583366, 0.005866377, 0.01271931, 0.03641459, 0.01144866
16.99354, 0.1501128, 0.005234545, 0.01488661, 0.00559776, 0.01207253, 0.03743787, 0.01068261
17.093502, 0.1790721, 0.00490594, 0.0139962, 0.005341443, 0.01145864, 0.03555246, 0.009967816
17.193464, 0.1736129, 0.004597965, 0.01315905, 0.005096863, 0.01087596, 0.03376201, 0.009300853
17.293426, 0.1796074, 0.004309322, 0.01237197, 0.004863482, 0.01032292, 0.03206172, 0.008678518
17.393388, 0.2014528, 0.0040388, 0.01163197, 0.004640787, 0.009797997, 0.03044706, 0.008097825
17.49335, 0.2009475, 0.003785259, 0.01093623, 0.004428289, 0.009299767, 0.02891372, 0.007555986
17.593312, 0.2098652, 0.003547635, 0.0102821, 0.004225521, 0.008826872, 0.02745759, 0.007050402
17.693274, 0.2254558, 0.003324928, 0.02293149, 0.004032038, 0.008378024, 0.0260748, 0.007270948
17.793236, 0.2198543, 0.003116202, 0.0215599, 0.003847414, 0.007952, 0.02476165, 0.006784437
17.893198, 0.2207419, 0.002920579, 0.02027034, 0.003671244, 0.00754764, 0.02351463, 0.007796439
