Time(s),Lick,ArtSal,Chocolate,Quinine,NaCl,Sucrose,Peanut,Acid
494.0008,1,0,0,0,0,0,0,0
494.011,0,0,0,0,0,0,0,0
495.9618,1,0,0,0,0,0,0,0
495.972,0,0,0,0,0,0,0,0
496.0918,1,0,0,0,0,0,0,0
496.102,0,0,0,0,0,0,0,0
496.2328,1,0,0,0,0,0,0,0
496.243,0,0,0,0,0,0,0,0
496.3848,1,0,0,0,0,0,0,0
496.395,0,0,0,0,0,0,0,0
496.5488,1,1,0,0,0,0,0,0
496.559,0,0,0,0,0,0,0,0
496.7208,1,0,0,0,0,0,0,0
496.731,0,0,0,0,0,0,0,0
496.8668,1,0,0,0,0,0,0,0
496.877,0,0,0,0,0,0,0,0
497.0288,1,0,0,0,0,0,0,0
497.039,0,0,0,0,0,0,0,0
497.1848,1,0,0,0,0,0,0,0
497.195,0,0,0,0,0,0,0,0
497.3478,1,0,0,0,0,0,0,0
497.358,0,0,0,0,0,0,0,0
497.5268,1,1,0,0,0,0,0,0
497.537,0,0,0,0,0,0,0,0
497.6908,1,0,0,0,0,0,0,0
497.701,0,0,0,0,0,0,0,0
497.9818,1,0,0,0,0,0,0,0
497.992,0,0,0,0,0,0,0,0
498.1518,1,0,0,0,0,0,0,0
498.162,0,0,0,0,0,0,0,0
498.5048,1,0,0,0,0,0,0,0
498.515,0,0,0,0,0,0,0,0
498.6528,1,0,0,0,0,0,0,0
498.663,0,0,0,0,0,0,0,0
498.8198,1,1,0,0,0,0,0,0
498.83,0,0,0,0,0,0,0,0
499.1238,1,0,0,0,0,0,0,0
499.134,0,0,0,0,0,0,0,0
499.3288,1,0,0,0,0,0,0,0
499.339,0,0,0,0,0,0,0,0
499.4588,1,0,0,0,0,0,0,0
499.469,0,0,0,0,0,0,0,0
499.6268,1,1,0,0,0,0,0,0
499.637,0,0,0,0,0,0,0,0
499.8008,1,0,0,0,0,0,0,0
499.811,0,0,0,0,0,0,0,0
499.9488,1,0,0,0,0,0,0,0
499.959,0,0,0,0,0,0,0,0
500.1258,1,0,0,0,0,0,0,0
500.136,0,0,0,0,0,0,0,0
500.2698,1,1,0,0,0,0,0,0
500.28,0,0,0,0,0,0,0,0
500.5948,1,0,0,0,0,0,0,0
500.605,0,0,0,0,0,0,0,0
500.7548,1,0,0,0,0,0,0,0
500.765,0,0,0,0,0,0,0,0
500.9388,1,0,0,0,0,0,0,0
500.949,0,0,0,0,0,0,0,0
501.0998,1,0,0,0,0,0,0,0
501.11,0,0,0,0,0,0,0,0
501.269,1,0,0,0,0,0,0,0
501.279,0,0,0,0,0,0,0,0
501.432,1,1,0,0,0,0,0,0
501.442,0,0,0,0,0,0,0,0
501.6288,1,0,0,0,0,0,0,0
501.639,0,0,0,0,0,0,0,0
501.7928,1,0,0,0,0,0,0,0
501.803,0,0,0,0,0,0,0,0
501.9358,1,0,0,0,0,0,0,0
501.946,0,0,0,0,0,0,0,0
506.784,1,0,0,0,0,0,0,1
506.794,0,0,0,0,0,0,0,0
506.899,1,0,0,0,0,0,0,1
506.909,0,0,0,0,0,0,0,0
507.056,1,0,0,0,0,0,0,1
507.066,0,0,0,0,0,0,0,0
507.22,1,0,0,0,0,0,0,1
507.23,0,0,0,0,0,0,0,0
507.352,1,0,0,0,0,0,0,1
507.362,0,0,0,0,0,0,0,0
514.2152,1,0,0,0,0,0,0,1
