 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
9.49639, 20.1245, 2.295025, 2.736443, 4.398584, 5.575407, 0.8383203, 4.625983, 1.752321, 4.166743, 16.51496, 2.558581, 1.354749, 4.045992
9.596352, 19.26363, 2.191649, 2.600191, 4.160662, 5.304098, 0.7969505, 4.426257, 1.667748, 3.947404, 15.71885, 2.40693, 1.282081, 3.847869
9.696313999999999, 18.43958, 2.09293, 2.470723, 3.935609, 5.045991, 0.7576222, 4.235154, 1.587258, 3.739611, 14.96112, 2.264268, 1.213311, 3.659448
9.796276000000001, 17.65078, 1.998657, 2.347701, 3.72273, 4.800445, 0.7202347, 4.052301, 1.510652, 3.542756, 14.23992, 2.130061, 1.14823, 3.480253
9.896238, 16.89573, 1.908631, 2.230805, 3.521366, 4.566846, 0.6846922, 3.877344, 1.437744, 3.356264, 13.55348, 2.003809, 1.08664, 3.309832
9.9962, 16.17297, 1.822659, 2.119729, 3.330893, 4.344615, 0.6509038, 3.70994, 1.368354, 3.179589, 12.90013, 1.885041, 1.028353, 3.147757
10.096162, 15.48114, 1.740561, 2.014184, 3.150723, 4.133199, 0.6187826, 3.549764, 1.302313, 3.012213, 12.27828, 1.773312, 1.346849, 2.993618
10.196124, 14.8189, 1.66216, 1.913895, 2.980299, 3.93207, 0.5882466, 3.396503, 1.23946, 2.853649, 12.7763, 1.668205, 1.274605, 2.847028
10.296086, 14.18498, 1.58729, 1.818598, 4.741529, 3.740729, 0.5592176, 3.24986, 1.17964, 2.703432, 12.16042, 1.569328, 1.206237, 2.707615
10.396048, 13.57819, 1.515793, 1.728047, 4.485056, 3.558698, 0.531621, 3.109547, 1.122707, 2.561122, 11.57422, 1.476312, 1.141535, 2.575029
10.49601, 12.99735, 1.447517, 1.642005, 4.242457, 3.385525, 0.5053864, 2.975293, 1.068522, 2.426304, 11.01628, 1.388808, 1.080304, 2.448936
10.595972, 12.44136, 1.382316, 1.560246, 4.01298, 3.22078, 0.4804463, 2.846835, 1.016952, 2.298582, 10.48524, 1.306492, 1.022357, 2.329017
10.695934, 11.90915, 1.320052, 1.482559, 3.795916, 3.064051, 0.456737, 2.723924, 0.9678711, 2.177583, 9.979799, 1.229054, 0.9675189, 2.21497
10.795896, 11.3997, 1.260592, 1.40874, 3.590593, 2.914949, 0.4341978, 2.606319, 0.9211588, 2.062955, 9.49872, 1.156206, 0.915622, 2.106508
10.895858, 10.91206, 1.203811, 1.338596, 3.396376, 2.773102, 0.4127707, 2.493791, 0.8767011, 1.95436, 9.040833, 1.087676, 0.8665088, 2.003357
10.99582, 10.44527, 1.149587, 1.271945, 3.212664, 2.638158, 0.3924011, 2.386122, 0.8343889, 1.851481, 8.605018, 1.023208, 0.8329483, 1.905257
11.095782, 9.998446, 1.097806, 1.208613, 3.038889, 2.509781, 0.3730367, 2.283102, 0.7941189, 1.754019, 8.190211, 0.9625611, 0.7882696, 1.81196
