 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
10.758387, 0.1152751, -0.001625065, -0.0003082777, -0.0209328, -0.01673618, 0.006621933, -0.002250812
10.817176, 0.1316813, -0.0003850392, -0.001264795, -0.01628832, -0.01490685, 0.008540518, 0.0003050547
10.875965, 0.1365977, 0.002212499, -0.003882903, -0.01937399, -0.01485158, 0.01732512, -0.005190355
10.934754, 0.1427582, 0.002664276, -0.004701406, -0.01832884, -0.01619546, 0.02050013, -0.001107057
10.993543, 0.1509321, 0.002717093, -0.003935488, -0.01969825, -0.009830084, 0.01353134, 0.001483121
11.052332, 0.1504649, 0.0009177391, -0.005786119, -0.0199153, -0.02147458, 0.01939136, -0.01008076
11.111121, 0.1580561, -0.0002313168, -0.005996848, -0.01701738, -0.01513199, 0.019357, -0.009116201
11.16991, 0.1533555, 0.002494638, -0.006691079, -0.01754949, -0.01628974, 0.02192738, -0.006861859
11.228699, 0.150235, 0.001593228, -0.003131846, -0.01724258, -0.01474044, 0.01862616, 0.0003347918
11.287488, 0.1533322, 0.002439865, 0.0005870415, -0.01501716, -0.01652118, 0.01852767, -0.0005220053
11.346277, 0.149207, 0.0008429582, -0.0030303, -0.01844347, -0.01646242, 0.02158233, -0.003854127
11.405066, 0.1549072, 0.003069876, -0.004978378, -0.01800029, -0.01505794, 0.03035586, -0.002247752
11.463855, 0.1475083, 0.002519889, 0.002262856, -0.01428149, -0.0145653, 0.02546098, -0.002400959
11.522644, 0.1465434, 0.002397067, -0.002119541, -0.01953586, -0.01588562, 0.01664167, -0.001228345
11.581433, 0.1359679, 0.0005855107, 0.001116328, -0.02019155, -0.01510105, 0.02054002, -0.006888663
11.640222, 0.1370701, -0.0003816251, 0.002449999, -0.01580787, -0.01690195, 0.02079118, -0.006426339
11.699011, 0.139987, -0.0007778534, 0.0009798121, -0.01823702, -0.01387503, 0.01759072, -0.0057699
