 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
9.596352, -0.003284869, -0.007548651, -0.005549273, 0.009317126, -0.009469591, 0.01233168, -0.008296894, -0.02013348, 0.007694622, -0.00974864, -0.005519941, -0.01220093
9.696313999999999, 0.00107276, -0.009671886, -0.008314798, 0.007636224, -0.01113245, 0.009151746, -0.01003372, -0.0195931, 0.009146798, -0.005265893, -0.01041748, -0.01112583
9.796276000000001, -0.008029815, -0.01068807, -0.02317291, 0.000470076, -0.01743626, 0.003504268, -0.01050701, -0.01432578, 0.00752995, -0.007498887, -0.01243365, -0.01563244
9.896238, -0.006326143, -0.01188881, -0.01937615, -0.002829697, -0.01587888, -0.002344743, -0.01114374, -0.01823612, 0.008923867, -0.006336101, -0.0135519, -0.01734847
9.9962, -0.0055795, -0.01522627, -0.01970888, -1.250778e-05, -0.01095931, 0.001385144, -0.007848706, -0.01663934, 0.003724599, -0.009773094, -0.01021221, -0.01796879
10.096162, -0.004972969, -0.008781835, -0.004403747, 0.006727123, -0.01087467, 0.005290497, -0.010728, -0.02022118, 0.0005894246, -0.009080198, -0.01000548, -0.01044917
10.196124, -0.009110199, -0.01029785, -0.006179325, 0.006934308, -0.01127971, 0.001754513, -0.01269996, -0.01954309, 0.001353474, -0.004709415, -0.007616404, -0.009836077
10.296086, -0.006434963, -0.007308595, -0.005749305, 0.009257, -0.009434531, 0.003136959, -0.008799165, -0.02127073, 0.005853851, -0.008950699, -0.005746642, -0.007993765
10.396048, -0.004365318, -0.01071768, -0.00297547, 0.005745205, -0.0120589, 0.003550901, -0.01266329, -0.01950161, 0.0001684815, -0.006485207, -0.008247113, -0.01243506
10.49601, -0.005665655, -0.01272124, -0.008315772, 0.007153602, -0.01464563, 0.00343585, -0.01318989, -0.0195913, 0.001399545, -0.007311463, -0.00835555, -0.01245947
10.595972, -0.004505955, -0.01452523, -0.01101294, 0.007937737, -0.01068867, 0.001153823, -0.01114423, -0.0229536, 0.005741393, -0.007392878, -0.01021887, -0.01077688
